,TITLE_NO,UPRN,REC_STATUS
262,BL32610,39380,A
316,BL40047,39380,A
351,BL35430,64372,A
647,BL7406,37279,A
957,AV19273,60071,A
1229,AV38660,75164,A
1915,AV25494,65915,A
2051,AV5029,65324,A
2560,BL14676,69078,A
2859,BL76315,349778,A
2943,AV131792,39531,A
3070,AV162350,68561,A
3089,AV143624,69746,A
3265,AV25621,73838,A
3290,AV3284,69995,A
3853,BL27824,73253,A
4481,AV32839,35546,A
4487,AV36017,65830,A
4643,AV84145,46335,A
5411,AV81371,59864,A
5418,AV83487,60328,A
5486,BL27841,73253,A
5503,BL54255,42034,A
5792,BL18523,41907,A
6697,BL32494,39531,A
7204,AV29175,302701,A
7280,AV76659,49316,A
7720,AV116445,51112,A
7877,AV175627,51112,A
8388,AV66376,259107,A
9029,BL55747,60584,A
9103,BL131324,47139,A
9321,BL137501,69746,A
9410,BL139379,44541,A
9437,BL111045,41907,A
9602,BL19653,257567,A
9612,BL21141,73801,A
9777,BL37599,70939,A
9789,BL39081,44541,A
9927,BL115603,74104,A
10288,BL30200,63460,A
10321,BL34526,73235,A
10467,BL59856,73235,A
